chinese,frequency,pinyin,posseg
買點兒,8,mai3-dian3-er2,v
買入價,9,mai3-ru4-jia4,n
穆稜市,3,mu4-leng2-shi4,nr
麥克拉,3,mai4-ke4-la1,nr
免疫血清,3,mian3-yi4-xue4-qing1,n
某村,3,mou3-cun1,r
穆獻皇帝,3,mu4-xian4-huang2-di4,nr
眉間,77,mei2-jian1,n
賣花,16,mai4-hua1,n
美僑,3,mei3-qiao2,n
蒙古包,93,meng3-gu3-bao1,nz
民族誌,3,min2-zu2-zhi4,n
馬蘭村,3,ma3-lan2-cun1,nr
煤成烴,3,mei2-cheng2-ting1,n
梅爾特,4,mei2-er3-te4,nr
馬軍寨,3,ma3-jun1-zhai4,nr
馬薩瓦,6,ma3-sa4-wa3,nr
明度對比,3,ming2-du4-dui4-bi3,n
目不別視,3,mu4-bu4-bie2-shi4,i
蒙卡奇,3,meng2-ka3-qi2,nr
鰻鱺,68,man2-li2,n
麻醉品,12,ma2-zui4-pin3,nr
氓,27,mang2,x
馬振海,6,ma3-zhen4-hai3,nr
歿,103,mo4,zg
馬上馬,2,ma3-shang4-ma3,nr
漫談,20,man4-tan2,vn
美國第七艦隊,3,mei3-guo2-di4-qi1-jian4-dui4,nt
眀,43,ming2,zg
滿腹珠璣,3,man3-fu4-zhu1-ji1,nz
秒針,16,miao3-zhen1,n
馬市,24,ma3-shi4,ns
馬利肯,7,ma3-li4-ken3,nr
美洲獅,5,mei3-zhou1-shi1,ns
煤炭,1617,mei2-tan4,n
賣國賊,1364,mai4-guo2-zei2,n
罵咧,3,ma4-lie3,z
描,391,miao2,v
美國明尼蘇達大學,7,mei3-guo2-ming2-ni2-su1-da2-da4-xue2,nt
民辦科技,3,min2-ban4-ke1-ji4,nt
妙師父,2,miao4-shi1-fu4,nr
明起,3,ming2-qi3,v
馬二世,11,ma3-er4-shi4,nr
賣主,35,mai4-zhu3,v
雮,133,mu4,zg
棉袍子,2,mian2-pao2-zi,n
沒指望,3,mei2-zhi3-wang4,l
妙覺,2,miao4-jue2,n
滅失,15,mie4-shi1,v
滿堂灌,3,man3-tang2-guan4,nr
賣劍買犢,3,mai4-jian4-mai3-du2,l
漠漠,48,mo4-mo4,ns
麥卡賓,2,mai4-ka3-bin1,nr
眉黛,6,mei2-dai4,n
蒙古人,675,meng2-gu3-ren2,nrt
